ID,Set,Hint,Word,Meaning,Sentence,Translation
1,set1,single word,agree,동의하다,"Yes, I agree.","응, 나도 동의해."
2,set1,idiom,be good at,~을 잘하다,She is good at growing plants.,그녀는 식물을 잘 키운다.
3,set1,single word,blue,우울한,You look blue today.,너 오늘 우울해 보인다.
4,set1,idiom,break down,분해되다, Plastic bottles take 450 years to break down.,플라스틱 병은 분해되는데 450년이 걸린다.
5,set1,single word,explanation,설명,Can you give more of an explanation?,설명을 좀 더 해줄 수 있니?
6,set1,single word,get up,"일어나다, 기상하다",He gets up early in the morning,그는 아침에 일찍 일어난다.
7,set1,idiom,in the middle of,~의 한가운데에,What are those in the middle of the ocean?,바다 한가운데 있는 저것들은 뭐야?
8,set1,single word,reuse,재사용하다,Let’s reuse plastic bags.,비닐봉지를 다시 사용하자.
9,set1,single word,surprise,"놀라움, 놀라운 일",What a surprise!,정말 놀랍다!
10,set1,single word,surprised,놀란 (사람의 감정),I’m so surprised!,나는 정말 놀랐어!
11,set1,single word,surprising,놀라운 (상황이나 사실),That’s surprising!,그거 놀랍네!
12,set1,idiom,throw away,버리다,Don’t throw away the box. We can use it again.,그 상자 버리지 마. 우리는 그것을 다시 사용할 수 있어.
13,set1,single word,thumb,엄지손가락,I gave him a thumbs-up for his great work.,나는 그의 훌륭한 작업에 대해 엄지손가락을 척 들어보았다.
14,set1,single word,unbelievable,믿을 수 없는,That’s unbelievable!,그건 믿을 수 없어!
15,set2,single word,become,~이 되다,A lot of plastic trash goes into the ocean and becomes big islands.,많은 플라스틱 쓰레기가 바다로 들어가서 큰 섬이 된다.
16,set2,single word,bin,(쓰레기) 통,Put the bottle in the recycling bin.,그 병을 재활용 통에 넣어라.
17,set2,single word,blender,"믹서기, 분쇄기",I use the blender to make smoothies.,나는 스무디를 만들기 위해 믹서기를 사용한다.
18,set2,single word,challenge,도전,She is ready for the next challenge.,그녀는 다음 도전을 할 준비가 되었다.
19,set2,single word,choose,선택하다,It's hard to choose one flavor at the ice cream store.,아이스크림 가게에서 한 가지 맛을 고르는 것은 어렵다.
20,set2,single word,collect,"모으다, 수집하다",I collect postcards from the countries I visit.,나는 방문하는 나라에서 온 엽서를 수집한다.
21,set2,single word,cotton,"무명, 면",I like to wear cotton T-shirts in the summer.,나는 여름에 면 티셔츠를 입는 것을 좋아한다.
22,set2,single word,empty,비어 있는,There are many empty seats in the theater.,극장에 비어 있는 자리들이 많다.
23,set2,two words,food waste,음식 쓰레기,Separate the food waste from the garbage.,쓰레기에서 음식 쓰레기를 분리하라.
24,set2,single word,instead,대신에,You have to drink a lot of water instead of soda.,너는 탄산음료 대신 많은 물을 마셔야 한다.
25,set2,single word,island,섬,Our airplane will land on a small island soon.,이 비행기는 곧 작은 섬에 착륙할 것이다.
26,set2,single word,item,"품목, 항목",This item is on sale.,이 품목은 지금 세일 중이다.
27,set2,single word,language,언어,English is a hard language to learn.,영어는 배우기 어려운 언어이다.
28,set2,single word,machine,기계,There are many machines in the factory.,공장에는 많은 기계들이 있다.
29,set2,single word,natural,"자연의, 가공하지 않은",Animals live peacefully in their natural environment.,동물들은 자연의 환경에서 평화롭게 산다.
30,set3,single word,nothing,아무것도 …아니다,There is nothing in the refrigerator.,냉장고에는 아무것도 없다.
31,set3,single word,ocean,"대양, 바다",There are many islands in the Pacific Ocean.,태평양에는 많은 섬들이 있다.
32,set3,single word,packaging,"포장, 포장지",You can choose your own packaging.,당신은 당신만의 포장을 고를 수 있다.
33,set3,single word,plate,접시,Can you bring the plates when you are done eating?,다 먹었으면 접시들을 가져올 수 있겠니?
34,set3,single word,recycle,재활용하다,You should recycle to help the environment.,당신은 환경을 돕기 위해 재활용을 해야 한다.
35,set3,single word,reduce,"줄이다, 축소하다",We can reduce waste by eating all our food.,우리는 모든 음식을 먹음으로써 쓰레기를 줄일 수 있다.
36,set3,single word,reusable,재사용할 수 있는,I bring a reusable water bottle to school every day.,나는 재사용 할 수 있는 물통을 매일 학교에 가져온다.
37,set3,single word,save,"절약하다, 아끼다",Turn off the running tap to save water.,물을 절약하기 위해 흐르는 수도꼭지를 잠가라.
38,set3,single word,simple,"간단한, 단순한",I like clothing with simple designs.,나는 간단한 모양의 옷을 좋아한다.
39,set3,single word,skin,피부,She also drinks a lot of water for her skin.,그녀는 또한 자신의 피부를 위해서 물을 많이 마신다.
40,set3,single word,spotless,티끌 하나 없는,My sister keeps her room spotless.,내 여동생은 그녀의 방을 티끌 하나 없이 유지한다.
41,set3,single word,terrible,끔찍한,I had a terrible cold for two weeks.,나는 2주 동안 끔찍한 감기에 걸렸었다.
42,set3,single word,trash,쓰레기,It is bad to throw trash on the ground.,땅에 쓰레기를 버리는 것은 나쁜 것이다.
43,set3,single word,wrap,포장하다,Why don't you wrap the gift for your mother with a red ribbon?,너의 어머니를 위한 선물을 붉은 리본으로 포장하는 것은 어때?
44,set4,single word,bookshelf,책장,There are many storybooks on the bookshelf.,책장에 동화책이 많이 있다.
45,set4,single word,Braille,점자,I’m thinking of adding Braille on the sign.,나는 그 표지판에 점자를 추가할 생각이다.
46,set4,idiom,by oneself,혼자서,I can’t do it all by myself.,나는 그것을 혼자서는 다 할 수 없어.
47,set4,idiom,complain about,~에 대해 불평하다,They complained about the noisy classroom.,그들은 시끄러운 교실에 대해 불평했다.
48,set4,idiom,content with,~에 만족하는,He is content with his simple life.,그는 자신의 단순한 삶에 만족한다.
49,set4,single word,decide,결정하다,She decided to study harder for the next exam.,그녀는 다음 시험을 위해 더 열심히 공부하기로 결정했다.
50,set4,single word,decorate,"장식하다, 꾸미다.",We need to decorate the classroom.,우리는 교실을 장식해야 해.
51,set4,single word,either,~도 또한 〔역시〕,"I don't like strawberry, either.",나도 딸기를 좋아하지 않는다.
52,set4,single word,fair,"공평한, 공정한",It’s not fair.,그건 공정하지 않아.
53,set4,single word,satisfactory,"만족스러운, 충분한",The teacher said my homework was satisfactory.,선생님은 내 숙제가 만족스럽다고 말씀하셨다.
54,set4,idiom,satisfied with,~에 만족하는,She was satisfied with her exam results.,그녀는 시험 결과에 만족했다.
55,set4,two words,step box,발판,I need a step box to reach the book above the bookshelf.,책장 위에 있는 책을 꺼내려면 발판이 필요해.
56,set4,idiom,turn on,켜다,It’s too hot here. I’ll turn on the air conditioner.,여기 너무 덥다. 에어컨 켤게.
57,set4,idiom,watch out,조심하다,Watch out! The bus is coming.,조심해! 버스가 온다!
58,set4,single word,way,방법,Is there another way to solve the problem?,그 문제를 해결할 다른 방법이 있나요?
59,set5,single word,almost,거의,I have almost finished my homework.,나는 내 숙제를 거의 끝마쳤다.
60,set5,single word,bath,목욕,He is taking a bath.,그는 목욕을 하고 있다.
61,set5,single word,bathtub,욕조,The bathtub was full of bubbles.,그 욕조는 거품으로 가득 찼다.
62,set5,single word,blind,눈이 먼,The dog helps the blind man.,그 개는 맹인 남자를 돕는다.
63,set5,single word,company,회사,She worked for 3 years at the company.,그녀는 그 회사에서 3년 동안 근무했다.
64,set5,single word,cross,건너다,Be careful when you cross the street.,길을 건널 때는 조심해라.
65,set5,single word,crowded,"붐비는, 복잡한",The bus is so crowded.,그 버스는 매우 붐빈다.
66,set5,single word,cushion,"쿠션, 방석",There are two cushions on the sofa.,소파 위에는 두 개의 쿠션이 있다.
67,set5,single word,dirty,더러운,His pants were so dirty after playing baseball in the rain.,그의 바지는 빗속에서 야구를 한 후에 아주 더러웠다.
68,set5,single word,flat,평평한,"In the past, people believed the Earth was flat.",과거에 사람들은 지구가 평평하다고 믿었다.
69,set5,single word,fountain,"음수대, 분수",She and I will meet at the fountain tomorrow.,그녀와 나는 내일 분수에서 만날 것이다.
70,set5,single word,handle,손잡이,Turn the door handle if you want to open the door.,문을 열고 싶다면 문손잡이를 돌리세요.
71,set5,single word,however,"그러나, 하지만","It has gotten warm these days. However, it is still cold in the morning.",요즈음 날이 따뜻해졌다. 그러나 아침에는 여전히 춥다.
72,set5,single word,journey,"여행, 여정",He is away on a journey.,그는 여행으로 부재중이다.
73,set5,two words,jump rope,줄넘기를 하다,I'm going to jump rope every day.,나는 매일 줄넘기를 할 예정이다.
74,set6,single word,locker,사물함,I put my books in the school locker.,나는 학교 사물함에 내 책들을 둔다.
75,set6,single word,low,낮은,This room has a low ceiling.,이 방은 천장이 낮다.
76,set6,single word,pad,"패드, 깔개",We should put more pads on this chair.,우리는 이 의자에 더 많은 패드를 깔아야 한다.
77,set6,single word,product,"제품, 상품",This product is very popular now.,이 제품은 지금 매우 인기가 많습니다.
78,set6,single word,reach,~에 닿다,She could not reach the window.,그녀는 창문에 다다를 수 없었다.
79,set6,single word,station,"역, 정류장",A subway car is arriving at the station.,지하철이 역에 도착하고 있다.
80,set6,single word,swing,그네,The boy is playing on the swing.,그 소년은 그네를 타는 중이다.
81,set6,single word,switch,스위치,Turn on the switch.,스위치를 켜라.
82,set6,single word,tight,"꽉 조이는, 딱 붙는",This jacket is too tight for me.,이 재킷은 내겐 너무 꽉 조인다.
83,set6,single word,traffic,교통,There is a lot of traffic on weekends.,주말에는 극심한 교통 체증이 있다.
84,set6,single word,uncomfortable,불편한,The chair is so hard and uncomfortable.,의자가 너무 딱딱하고 불편하다.
85,set6,single word,universal,보편적인,Laughter is a universal language.,웃음은 보편적인 언어다.
86,set6,single word,view,"견해, 관점",I don't agree with his view.,나는 그의 견해에 동의하지 않는다.
87,set6,single word,wiper,"닦개, 와이퍼",This wiper is for cleaning the mirror.,이 와이퍼는 거울을 닦기 위한 것이다.
,,,,,,
,,,,,,
